               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10882,            0.040828,            0.025471,           0.0047414,             0.86387,            0.019245,           0.0052268,            0.076797,            0.028863,            0.014669,              0.0748,              0.0028,              0.0028
                   1,            0.083026,            0.042515,            0.010256,             0.54558,             0.20588,             0.10938,            0.033253,             0.08958,            0.026674,           0.0039707,            0.048606,            0.005606,            0.005606
                   2,            0.077241,            0.038911,           0.0052954,             0.22095,             0.62258,              0.2585,            0.086996,            0.069795,            0.021122,           0.0022702,            0.022316,           0.0083162,           0.0083162
                   3,            0.074812,            0.034759,           0.0035615,              0.3149,             0.55662,             0.34143,             0.12009,            0.065852,            0.019049,           0.0019871,            0.009505,            0.009505,            0.009505
                   4,            0.067066,            0.032847,           0.0031604,              0.4744,             0.65243,              0.4998,             0.21016,            0.055226,            0.019566,             0.00167,            0.009505,            0.009505,            0.009505
                   5,            0.059906,            0.031945,           0.0031022,              0.4452,             0.60788,             0.51321,             0.22832,            0.069222,            0.019498,           0.0014208,             0.00934,             0.00934,             0.00934
                   6,            0.058426,            0.031532,           0.0023612,             0.67766,             0.75444,             0.70259,             0.33018,            0.047829,            0.020008,           0.0015347,            0.009175,            0.009175,            0.009175
                   7,            0.052972,            0.032003,           0.0024065,              0.5823,             0.76523,             0.58057,              0.2282,            0.057851,            0.019199,           0.0013597,             0.00901,             0.00901,             0.00901
                   8,             0.04991,             0.03232,           0.0018761,             0.70175,             0.81355,             0.77631,             0.31676,            0.049423,            0.018561,           0.0015376,            0.008845,            0.008845,            0.008845
                   9,            0.049074,            0.030821,           0.0017407,             0.73193,             0.71333,              0.6861,             0.29941,            0.055806,            0.019238,           0.0013662,             0.00868,             0.00868,             0.00868
                  10,            0.046542,            0.031349,           0.0015052,             0.78546,             0.77945,             0.80841,             0.34767,            0.043933,            0.019295,           0.0011373,            0.008515,            0.008515,            0.008515
                  11,            0.046736,            0.030797,           0.0015046,             0.69626,             0.70898,               0.679,             0.21639,            0.054956,            0.018994,           0.0011654,             0.00835,             0.00835,             0.00835
                  12,            0.044954,              0.0302,           0.0013559,             0.72266,             0.81096,             0.72641,             0.34087,            0.044927,            0.019491,           0.0012966,            0.008185,            0.008185,            0.008185
                  13,            0.043085,            0.026655,           0.0015582,             0.67233,             0.76009,             0.65181,             0.26201,            0.051576,            0.018732,           0.0015505,             0.00802,             0.00802,             0.00802
                  14,            0.042281,            0.030685,           0.0011118,             0.69035,             0.80504,             0.71772,             0.30697,            0.053063,            0.019655,           0.0011132,            0.007855,            0.007855,            0.007855
                  15,            0.043178,            0.026827,           0.0011281,             0.80595,             0.81501,             0.83463,             0.38532,            0.048112,            0.018435,           0.0011577,             0.00769,             0.00769,             0.00769
                  16,            0.041306,            0.026419,           0.0010213,             0.76574,             0.80516,             0.81981,             0.35197,            0.044642,            0.019104,           0.0012169,            0.007525,            0.007525,            0.007525
                  17,            0.042185,            0.028252,           0.0010263,              0.6952,             0.75242,             0.70646,             0.34902,            0.053542,            0.019073,           0.0010217,             0.00736,             0.00736,             0.00736
                  18,            0.041032,            0.026506,          0.00098948,              0.7903,             0.80504,             0.81046,             0.38358,            0.047468,            0.019671,           0.0011036,            0.007195,            0.007195,            0.007195
                  19,            0.039027,            0.025234,          0.00095554,             0.77773,             0.86966,             0.80905,             0.33528,            0.042623,            0.019881,          0.00091036,             0.00703,             0.00703,             0.00703
                  20,            0.039513,            0.025925,          0.00086191,             0.61638,             0.81134,             0.72488,              0.3016,            0.052045,            0.020096,          0.00080541,            0.006865,            0.006865,            0.006865
                  21,            0.038657,            0.024689,          0.00074612,              0.8309,             0.85617,             0.85179,             0.38267,            0.042539,            0.019849,          0.00079083,              0.0067,              0.0067,              0.0067
                  22,            0.038444,            0.027668,          0.00075434,             0.75725,             0.84296,             0.81703,             0.36715,            0.042029,            0.019982,          0.00080612,            0.006535,            0.006535,            0.006535
                  23,            0.039219,            0.026565,          0.00081928,             0.81069,             0.87206,             0.85504,             0.41457,            0.044983,            0.019416,          0.00092024,             0.00637,             0.00637,             0.00637
                  24,            0.035822,            0.025095,          0.00073891,             0.79836,             0.81679,             0.78215,             0.38068,            0.046919,            0.020636,           0.0012238,            0.006205,            0.006205,            0.006205
                  25,            0.036412,            0.024553,          0.00066125,             0.82288,             0.86576,             0.84792,             0.40622,            0.045409,            0.021282,          0.00092385,             0.00604,             0.00604,             0.00604
                  26,            0.035618,            0.023997,          0.00070346,             0.83557,             0.81855,             0.83518,             0.35308,            0.044335,            0.020217,          0.00080538,            0.005875,            0.005875,            0.005875
                  27,            0.035897,            0.023354,          0.00066053,              0.8323,             0.79931,             0.81718,             0.34798,            0.048541,            0.020315,           0.0010365,             0.00571,             0.00571,             0.00571
                  28,            0.035971,            0.023442,          0.00063193,              0.8482,             0.83433,             0.82129,             0.38368,            0.044758,            0.020744,          0.00088897,            0.005545,            0.005545,            0.005545
                  29,            0.035008,             0.02351,           0.0006374,             0.80351,             0.80924,             0.79451,             0.35757,            0.044512,            0.021685,           0.0010277,             0.00538,             0.00538,             0.00538
                  30,            0.034216,            0.022968,          0.00058403,             0.80931,             0.77794,             0.80558,             0.40738,            0.043862,            0.021409,           0.0013132,            0.005215,            0.005215,            0.005215
                  31,            0.034404,            0.023971,          0.00053097,             0.80328,             0.80704,             0.80135,              0.3867,            0.050349,            0.021136,          0.00094033,             0.00505,             0.00505,             0.00505
                  32,            0.033473,            0.021504,          0.00056746,             0.79738,             0.85993,             0.80695,              0.3711,            0.045902,            0.021698,          0.00074993,            0.004885,            0.004885,            0.004885
